,Movie_id,Budget,Revenue,titleID,originalTitle,releaseYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes,cast,OscarNominations,OscarsWon
6163,tt0293662,21000000.0,43900000.0,tt0293662,The Transporter,2002,92,"Action,Crime,Thriller","nm0504642,nm0477035","nm0000108,nm0436543",6.8,319460.0,"['nm1226238', 'nm1226251', 'nm1226261']",0,0
6164,tt0293764,35000.0,124000.0,tt0293764,Bak Yesil Yesil,1975,80,"Comedy,Music,Romance",nm0762517,nm0701121,5.6,457.0,[],0,0
6165,tt0293815,20000000.0,33500000.0,tt0293815,Friday After Next,2002,85,"Comedy,Drama",nm1048560,"nm0001084,nm0690770",5.8,30029.0,"['nm1279345', 'nm1279527', 'nm1280596', 'nm1281358']",0,0
6166,tt0294252,7000000.0,12049825.0,tt0294252,2009 loseuteu maemorijeu,2002,136,"Action,Drama,Sci-Fi","nm15657100,nm1045946","nm15657114,nm15569907,nm1045942,nm1045946,nm0532146,nm15569906,nm15569462",6.1,3420.0,"['nm15569670', 'nm15569671', 'nm15569673', 'nm15569675', 'nm15569676', 'nm15569677', 'nm15569678', 'nm15569680', 'nm15569871', 'nm15569872', 'nm15569873', 'nm15569874', 'nm15569875', 'nm15569876', 'nm15569877', 'nm15569878', 'nm15569879', 'nm15569880', 'nm15569881', 'nm15569882', 'nm15569883', 'nm15569884', 'nm15569885']",0,0
6167,tt0294870,40000000.0,31670620.0,tt0294870,Rent,2005,135,"Drama,Musical,Romance",nm0001060,"nm1170227,nm0154716",6.8,55713.0,"['nm13272891', 'nm1954790', 'nm2074378', 'nm2074456', 'nm2074906', 'nm2075444', 'nm2077035', 'nm2077066', 'nm2077233', 'nm2077471', 'nm2078466', 'nm2079266', 'nm2082594', 'nm2086555', 'nm2086739', 'nm2089057', 'nm4821207']",0,0
6168,tt0295178,63000000.0,296938801.0,tt0295178,Austin Powers in Goldmember,2002,94,"Action,Adventure,Comedy",nm0005366,"nm0000196,nm0567112",6.2,221710.0,"['nm1215296', 'nm2886685']",0,0
6169,tt0295254,40000000.0,18902015.0,tt0295254,Feardotcom,2002,101,"Crime,Horror,Thriller",nm0540532,"nm0224537,nm0185386,nm1288243",3.4,22559.0,"['nm1224697', 'nm1224992', 'nm1225155']",0,0
6170,tt0295289,20000000.0,17400000.0,tt0295289,A Guy Thing,2003,101,"Comedy,Romance",nm0462277,"nm0322839,nm1046710,nm0850696,nm0943035",5.6,18274.0,['nm1306141'],0,0
6171,tt0295297,100000000.0,876688482.0,tt0295297,Harry Potter and the Chamber of Secrets,2002,161,"Adventure,Family,Fantasy",nm0001060,"nm0746830,nm0460141",7.4,686810.0,"['nm0060888', 'nm1206119', 'nm1290136', 'nm1291677', 'nm1296246', 'nm1296702']",0,0
6172,tt0295427,16000000.0,43400000.0,tt0295427,The Master of Disguise,2002,80,"Adventure,Comedy,Family",nm0086690,"nm0001022,nm0325214",3.3,27111.0,"['nm1098213', 'nm1102636', 'nm1157181', 'nm1221164']",0,0
6173,tt0295700,12600000.0,28650575.0,tt0295700,Wrong Turn,2003,84,"Horror,Thriller",nm0003343,nm0568416,6.1,130225.0,[],0,0
6174,tt0295701,70000000.0,277500000.0,tt0295701,xXx,2002,124,"Action,Adventure,Thriller",nm0003418,nm0929186,5.8,185863.0,"['nm1275154', 'nm1276592', 'nm1276724', 'nm1596339', 'nm1652070', 'nm8323651']",0,0
6175,tt0295721,14500000.0,65497208.0,tt0295721,Taxi 3,2003,84,"Action,Comedy,Crime",nm0470443,nm0000108,5.8,45377.0,"['nm1320144', 'nm1419595', 'nm1419744', 'nm1421126', 'nm1422343', 'nm1423021']",0,0
6176,tt0296042,1400010.0,80631.0,tt0296042,Koroshiya 1,2001,129,"Action,Crime,Drama",nm0586281,"nm0766499,nm1152460",7.0,59700.0,[],0,0
6177,tt0296166,3000000.0,7700000.0,tt0296166,Real Women Have Curves,2002,90,"Comedy,Drama",nm0136603,"nm1058851,nm0492215",6.9,8167.0,"['nm1263464', 'nm1263752', 'nm1264379']",0,0
6178,tt0296572,105000000.0,115772733.0,tt0296572,The Chronicles of Riddick,2004,119,"Action,Adventure,Sci-Fi",nm0878638,"nm0923646,nm0003117,nm0878638",6.6,240661.0,[],0,0
6179,tt0296574,1500000.0,6000000.0,tt0296574,Company,2002,142,"Action,Crime,Drama",nm0890060,"nm2832163,nm1156290",8.0,16095.0,"['nm1215999', 'nm1216332', 'nm1216930']",0,0
6180,tt0297037,8000000.0,27362712.0,tt0297037,Brown Sugar,2002,109,"Comedy,Drama,Music",nm0266622,"nm0254288,nm0266622",6.5,10175.0,"['nm1253750', 'nm1254670']",0,0
6181,tt0297162,25000000.0,19233280.0,tt0297162,Half Past Dead,2002,98,"Action,Crime,Thriller",nm0666806,nm0666806,4.6,16639.0,"['nm1298352', 'nm1329771', 'nm1330842', 'nm1331476', 'nm1331641']",0,0
6182,tt0297181,70000000.0,51386477.0,tt0297181,I Spy,2002,97,"Action,Adventure,Comedy",nm0858525,"nm0277643,nm0295053,nm0926729,nm0926727,nm0771065,nm0740115",5.4,53283.0,"['nm1086406', 'nm1267710', 'nm1269194']",0,0
6183,tt0297284,27000000.0,21100000.0,tt0297284,Mindhunters,2004,106,"Crime,Horror,Thriller",nm0001317,"nm0469694,nm0110778",6.3,63786.0,[],0,0
6184,tt0297731,1300000.0,2454780.0,tt0297731,Anhonee,1973,127,"Mystery,Thriller",nm0849200,"nm2543860,nm0795652,nm0849200",7.2,70.0,"['nm2607704', 'nm2637893']",0,0
6185,tt0297884,13500000.0,29027914.0,tt0297884,Far from Heaven,2002,107,"Drama,Romance",nm0001331,nm0001331,7.3,49029.0,"['nm1262040', 'nm1262108', 'nm1274550']",4,0
6186,tt0298130,48000000.0,249348933.0,tt0298130,The Ring,2002,115,"Horror,Mystery",nm0893659,"nm0472567,nm0840626,nm0847126",7.1,372470.0,['nm1255807'],0,0
